t_us,openloop_el_angle_rad,sensor_raw,sensor_error
701453,-30.861799,2488,0
702698,-30.916811,2486,0
703953,-30.971823,2484,0
705211,-31.026834,2481,0
706447,-31.081846,2048,0
707699,-31.136858,2048,0
708953,-31.19187,1622,0
710197,-31.246881,1626,0
711453,-31.301893,1629,0
712704,-31.356905,1632,0
713953,-31.411917,1635,0
715212,-31.466928,2047,0
716448,-31.52194,1641,0
717699,-31.576952,2047,0
718948,-31.631964,2048,0
720198,-31.686975,1650,0
721448,-31.741987,2441,0
722699,-31.796999,2439,0
723948,-31.852011,1660,0
725198,-31.907022,2432,0
726448,-31.962034,1667,0
727699,-32.017048,2048,0
728948,-32.07206,1674,0
730198,-32.127071,1677,0
731454,-32.182083,1680,0
732699,-32.237095,1683,0
733948,-32.292107,1685,0
735198,-32.347118,1688,0
736448,-32.40213,1690,0
737705,-32.457142,1693,0
738948,-32.512154,2400,0
740198,-32.567165,1698,0
741448,-32.622177,2394,0
742699,-32.677189,2391,0
743948,-32.732201,2389,0
745198,-32.787212,2386,0
746448,-32.842224,2048,0
747699,-32.897236,1714,0
748948,-32.952248,2048,0
750198,-33.007259,1719,0
751448,-33.062271,1722,0
752699,-33.117283,1725,0
753948,-33.172295,1726,0
755198,-33.227306,1728,0
756448,-33.282318,1729,0
757705,-33.33733,1730,0
758948,-33.392342,2363,0
760198,-33.447353,2047,0
761454,-33.502365,2361,0
762705,-33.557377,2360,0
763948,-33.612389,2358,0
765198,-33.6674,2355,0
766448,-33.722412,1742,0
767699,-33.777424,2048,0
768948,-33.832436,2048,0
770198,-33.887447,1750,0
771448,-33.942459,1753,0
772699,-33.997471,1755,0
773948,-34.052483,1758,0
775198,-34.107494,1760,0
776448,-34.162506,1763,0
777699,-34.217518,1766,0
778948,-34.27253,2326,0
780198,-34.327541,2048,0
781454,-34.382553,2321,0
782699,-34.437565,2047,0
783948,-34.492577,2317,0
785198,-34.547588,2314,0
786448,-34.6026,2047,0
787699,-34.657612,2047,0
788948,-34.712624,2048,0
790211,-34.767635,1788,0
791448,-34.822647,1790,0
792699,-34.877659,1793,0
793948,-34.932671,1796,0
795198,-34.987682,1799,0
796448,-35.042694,1802,0
797699,-35.097706,2048,0
798948,-35.152718,2048,0
800198,-35.207729,2048,0
801448,-35.262741,2280,0
802699,-35.317753,2048,0
803954,-35.372765,2048,0
805197,-35.427776,2269,0
806447,-35.482788,1829,0
807699,-35.5378,2047,0
808947,-35.592812,1834,0
810198,-35.647823,1837,0
811453,-35.702835,1840,0
812699,-35.757847,1842,0
813948,-35.812859,1845,0
815197,-35.86787,1849,0
816447,-35.922882,1851,0
817699,-35.977894,1854,0
818947,-36.032906,2239,0
820197,-36.087917,2048,0
821448,-36.142929,2232,0
822699,-36.197941,2229,0
823947,-36.252953,2226,0
825197,-36.307964,2223,0
